model,ip_mode,after_task,task_category,accuracy_seen,current_task_recall,detection_rate_seen,ewc_gamma,ewc_lambda,ewc_stability_ratio,fpr_seen,macro_f1_seen,next_task_recall_before_training,retention_normalised,retention_rate,task0_accuracy,task0_macro_f1,train_seconds,train_steps
ffnn_joint,none,0,BruteForce,1.5008190216931212e-05,0.0,0.0,,,,1.5147982124158671e-05,0.00040937496365947443,0.0,0.0,0.0,1.5008190216931212e-05,0.00040937496365947443,17.149414129883585,0.0
ffnn_joint,none,1,DoS,2.066544420369126e-05,0.00018582985176456978,0.0001790115805308074,,,,1.1330813462920001e-05,4.1413268439466624e-05,0.0,0.0,0.0,4.1625230291648165e-06,0.00011350637193719402,36.137511406405295,0.0
ffnn_joint,none,2,WebAttack,9.543391701279871e-06,0.0,2.8645087367371036e-05,,,,6.676480085195053e-06,2.077404615199198e-05,0.00015313444556550325,0.0,0.0,4.162523029028607e-06,0.00011359415197668622,41.61566752534665,0.0
ffnn_joint,none,3,Infiltration,5.1253071619376654e-05,0.00043879168497797105,0.00042418189009860895,,,,7.966347430259229e-05,9.241532167649274e-05,0.0,0.0,0.0,7.573046895065574e-05,0.002039936265158316,47.16875640326408,0.0
ffnn_joint,none,4,Botnet,2.4336253276019666e-05,0.0,0.00025679317891405746,,,,2.2564026951909745e-05,4.7069758456813216e-05,0.016679651189840043,0.0,0.0,5.114993932740845e-05,0.0013811067622783095,50.799933200414266,0.0
ffnn_joint,none,5,PortScan,5.1297221625653634e-05,5.217492337507551e-05,0.00010827192787634537,,,,4.7456074655281076e-05,7.834132555740145e-05,0.005728106596666622,0.0,0.0,5.600101992149241e-05,0.0015171896725165487,55.822953668290204,0.0
ffnn_joint,none,6,DDoS,1.0469465018249253e-05,0.0,2.9167841482505286e-05,,,,1.7760523788000738e-05,1.406713550319104e-05,,0.0,0.0,1.8144017234293922e-05,0.0004939692882456109,55.345255091643914,0.0
gnn_ewc,none,0,BruteForce,4.162523029252953e-06,0.0,0.0,0.0,0.0,0.0,4.2012943283435384e-06,0.00011368203485215262,0.0,0.0,0.0,4.162523029252953e-06,0.00011368203485215262,0.8685932674587516,0.0
gnn_ewc,none,1,DoS,0.00033388675160109645,0.0024223765980995937,0.002333497332905352,0.0,0.0,0.014329742768804644,0.00038667179149591026,0.0006679336644265158,0.0,0.0,0.0,0.0005140842331851188,0.01340035288764493,1.0232387154062441,0.0
gnn_ewc,none,2,WebAttack,0.00023136315986557428,0.0,0.0021309968501422552,0.0,0.0,0.01384853931133247,5.8694467983990994e-05,0.0005053694497252531,0.0,0.0,0.0,2.3175947381174064e-05,0.0005756806515429629,0.12290658174940956,0.0
gnn_ewc,none,3,Infiltration,0.0036978965853772844,0.0002459201584717972,0.000685929542313855,0.0,0.0,0.013182469124467895,0.004503878971957943,0.006430703427667367,0.0,0.03067173305069884,0.03067173305069884,0.00432625538745117,0.08173146425512327,0.05059145387700889,0.0
gnn_ewc,none,4,Botnet,0.06918511005163398,0.12429824282023927,0.46301115389196135,0.0,0.0,0.010883707099017452,0.0019852776411677076,0.22062383570030847,0.5764943522582748,0.49967905552328873,0.49967905552328873,0.004406781173281322,0.2506374796796691,0.03603972378114197,0.0
gnn_ewc,none,5,PortScan,0.012279076716419415,0.0,0.0605352930093042,0.0,0.0,0.027635401037652087,0.0009904569304242281,0.0196754227451915,0.5694076503705842,0.0,0.0,0.00018749844606705596,0.004885583723174603,0.16713031741433115,0.0
gnn_ewc,none,6,DDoS,0.0009849451636496677,0.0,0.000678008550907054,0.0,0.0,0.043046726193982095,0.001365718802917669,0.0013083819364710604,,0.0,0.0,0.0002192745068671744,0.005799368592854496,0.8827974261273932,0.0
